"DateTime","Players","Average Players"
"2010-09-20 00:00:00",18411,
"2010-09-21 00:00:00",39886,
"2010-09-22 00:00:00",38495,
"2010-09-23 00:00:00",53585,
"2010-09-24 00:00:00",68809,
"2010-09-25 00:00:00",70096,
"2010-09-26 00:00:00",69844,
"2010-09-27 00:00:00",51407,
"2010-09-28 00:00:00",48373,
"2010-09-29 00:00:00",44228,
"2010-09-30 00:00:00",43756,
"2010-10-01 00:00:00",54818,
"2010-10-02 00:00:00",56887,
"2010-10-03 00:00:00",55895,
"2010-10-04 00:00:00",40366,
"2010-10-05 00:00:00",36577,
"2010-10-06 00:00:00",35942,
"2010-10-07 00:00:00",34820,
"2010-10-08 00:00:00",45322,
"2010-10-09 00:00:00",47748,
"2010-10-10 00:00:00",46207,
"2010-10-11 00:00:00",38106,
"2010-10-12 00:00:00",30828,
"2010-10-13 00:00:00",28748,
"2010-10-14 00:00:00",29148,
"2010-10-15 00:00:00",38921,
"2010-10-16 00:00:00",40918,
"2010-10-17 00:00:00",39594,
"2010-10-18 00:00:00",28828,
"2010-10-19 00:00:00",26200,
"2010-10-20 00:00:00",25081,
"2010-10-21 00:00:00",27695,
"2010-10-22 00:00:00",35893,
"2010-10-23 00:00:00",38311,
"2010-10-24 00:00:00",36737,
"2010-10-25 00:00:00",26780,
"2010-10-26 00:00:00",26721,
"2010-10-27 00:00:00",24471,
"2010-10-28 00:00:00",25330,
"2010-10-29 00:00:00",26473,
"2010-10-30 00:00:00",35300,
"2010-10-31 00:00:00",34543,
"2010-11-01 00:00:00",26627,
"2010-11-02 00:00:00",24490,
"2010-11-03 00:00:00",23360,
"2010-11-04 00:00:00",23490,
"2010-11-05 00:00:00",31625,
"2010-11-06 00:00:00",32529,
"2010-11-07 00:00:00",32427,
"2010-11-08 00:00:00",22706,
"2010-11-09 00:00:00",20813,
"2010-11-10 00:00:00",22350,
"2010-11-11 00:00:00",22582,
"2010-11-12 00:00:00",27551,
"2010-11-13 00:00:00",29154,
"2010-11-14 00:00:00",29196,
"2010-11-15 00:00:00",20541,
"2010-11-16 00:00:00",19500,
"2010-11-17 00:00:00",18165,
"2010-11-18 00:00:00",18804,
"2010-11-19 00:00:00",25293,
"2010-11-20 00:00:00",27359,
"2010-11-21 00:00:00",27031,
"2010-11-22 00:00:00",19433,
"2010-11-23 00:00:00",19368,
"2010-11-24 00:00:00",21282,
"2010-11-25 00:00:00",22557,
"2010-11-26 00:00:00",24857,
"2010-11-27 00:00:00",26119,
"2010-11-28 00:00:00",26252,
"2010-11-29 00:00:00",17793,
"2010-11-30 00:00:00",17257,
"2010-12-01 00:00:00",17340,
"2010-12-02 00:00:00",17531,
"2010-12-03 00:00:00",24785,
"2010-12-04 00:00:00",26591,
"2010-12-05 00:00:00",26705,
"2010-12-06 00:00:00",18307,
"2010-12-07 00:00:00",17008,
"2010-12-08 00:00:00",16695,
"2010-12-09 00:00:00",16351,
"2010-12-10 00:00:00",23250,
"2010-12-11 00:00:00",25348,
"2010-12-12 00:00:00",25416,
"2010-12-13 00:00:00",17851,
"2010-12-14 00:00:00",16716,
"2010-12-15 00:00:00",17214,
"2010-12-16 00:00:00",19283,
"2010-12-17 00:00:00",26698,
"2010-12-18 00:00:00",28371,
"2010-12-19 00:00:00",28581,
"2010-12-20 00:00:00",22111,
"2010-12-21 00:00:00",20771,
"2010-12-22 00:00:00",20983,
"2010-12-23 00:00:00",21779,
"2010-12-24 00:00:00",27764,
"2010-12-25 00:00:00",33019,
"2010-12-26 00:00:00",33705,
"2010-12-27 00:00:00",32134,
"2010-12-28 00:00:00",30472,
"2010-12-29 00:00:00",29660,
"2010-12-30 00:00:00",29297,
"2010-12-31 00:00:00",33255,
"2011-01-01 00:00:00",34773,
"2011-01-02 00:00:00",33303,
"2011-01-03 00:00:00",26575,
"2011-01-04 00:00:00",23424,
"2011-01-05 00:00:00",22836,
"2011-01-06 00:00:00",22327,
"2011-01-07 00:00:00",30401,
"2011-01-08 00:00:00",31888,
"2011-01-09 00:00:00",32290,
"2011-01-10 00:00:00",22299,
"2011-01-11 00:00:00",21147,
"2011-01-12 00:00:00",20824,
"2011-01-13 00:00:00",19507,
"2011-01-14 00:00:00",27910,
"2011-01-15 00:00:00",29916,
"2011-01-16 00:00:00",30223,
"2011-01-17 00:00:00",23813,
"2011-01-18 00:00:00",19800,
"2011-01-19 00:00:00",18736,
"2011-01-20 00:00:00",19936,
"2011-01-21 00:00:00",27198,
"2011-01-22 00:00:00",29624,
"2011-01-23 00:00:00",28945,
"2011-01-24 00:00:00",19125,
"2011-01-25 00:00:00",18095,
"2011-01-26 00:00:00",18212,
"2011-01-27 00:00:00",18106,
"2011-01-28 00:00:00",25741,
"2011-01-29 00:00:00",28265,
"2011-01-30 00:00:00",28457,
"2011-01-31 00:00:00",18970,
"2011-02-01 00:00:00",19794,
"2011-02-02 00:00:00",20129,
"2011-02-03 00:00:00",18596,
"2011-02-04 00:00:00",25566,
"2011-02-05 00:00:00",27322,
"2011-02-06 00:00:00",27314,
"2011-02-07 00:00:00",18473,
"2011-02-08 00:00:00",17773,
"2011-02-09 00:00:00",16654,
"2011-02-10 00:00:00",16899,
"2011-02-11 00:00:00",24286,
"2011-02-12 00:00:00",26499,
"2011-02-13 00:00:00",26342,
"2011-02-14 00:00:00",17256,
"2011-02-15 00:00:00",17047,
"2011-02-16 00:00:00",16430,
"2011-02-17 00:00:00",18254,
"2011-02-18 00:00:00",26258,
"2011-02-19 00:00:00",29750,
"2011-02-20 00:00:00",29840,
"2011-02-21 00:00:00",24719,
"2011-02-22 00:00:00",19210,
"2011-02-23 00:00:00",17501,
"2011-02-24 00:00:00",17797,
"2011-02-25 00:00:00",24614,
"2011-02-26 00:00:00",26696,
"2011-02-27 00:00:00",26850,
"2011-02-28 00:00:00",17529,
"2011-03-01 00:00:00",16327,
"2011-03-02 00:00:00",17979,
"2011-03-03 00:00:00",19055,
"2011-03-04 00:00:00",27161,
"2011-03-05 00:00:00",29485,
"2011-03-06 00:00:00",29618,
"2011-03-07 00:00:00",20451,
"2011-03-08 00:00:00",17976,
"2011-03-09 00:00:00",17241,
